AT	50	50	0	30000
PROCESSING	49	49	1414	33414
PROCESSING	49	50	1000	32000
PROCESSING	49	51	1414	31414
PROCESSING	50	49	1000	32000
PROCESSING	50	51	1000	30000
PROCESSING	51	49	1414	31414
PROCESSING	51	50	1000	30000
PROCESSING	51	51	1414	29414
AT	51	51	1414	29414
PROCESSING	50	50	2828	32828
PROCESSING	50	51	2414	31414
PROCESSING	50	52	2828	30828
PROCESSING	51	50	2414	31414
PROCESSING	51	52	2414	29414
PROCESSING	52	50	2828	30828
PROCESSING	52	51	2414	29414
PROCESSING	52	52	2828	28828
AT	52	52	2828	28828
PROCESSING	51	51	4242	32242
PROCESSING	51	52	3828	30828
PROCESSING	51	53	4242	30242
PROCESSING	52	51	3828	30828
PROCESSING	52	53	3828	28828
PROCESSING	53	51	4242	30242
PROCESSING	53	52	3828	28828
PROCESSING	53	53	4242	28242
AT	53	53	4242	28242
PROCESSING	52	52	5656	31656
PROCESSING	52	53	5242	30242
PROCESSING	52	54	5656	29656
PROCESSING	53	52	5242	30242
PROCESSING	53	54	5242	28242
PROCESSING	54	52	5656	29656
PROCESSING	54	53	5242	28242
PROCESSING	54	54	5656	27656
AT	54	54	5656	27656
PROCESSING	53	53	7070	31070
PROCESSING	53	54	6656	29656
PROCESSING	53	55	7070	29070
PROCESSING	54	53	6656	29656
PROCESSING	54	55	6656	27656
PROCESSING	55	53	7070	29070
PROCESSING	55	54	6656	27656
PROCESSING	55	55	7070	27070
AT	55	55	7070	27070
PROCESSING	54	54	8484	30484
PROCESSING	54	55	8070	29070
PROCESSING	54	56	8484	28484
PROCESSING	55	54	8070	29070
PROCESSING	55	56	8070	27070
PROCESSING	56	54	8484	28484
PROCESSING	56	55	8070	27070
PROCESSING	56	56	8484	26484
AT	56	56	8484	26484
PROCESSING	55	55	9898	29898
PROCESSING	55	56	9484	28484
PROCESSING	55	57	9898	27898
PROCESSING	56	55	9484	28484
PROCESSING	56	57	9484	26484
PROCESSING	57	55	9898	27898
PROCESSING	57	56	9484	26484
PROCESSING	57	57	9898	25898
AT	57	57	9898	25898
PROCESSING	56	56	11312	29312
PROCESSING	56	57	10898	27898
PROCESSING	56	58	11312	27312
PROCESSING	57	56	10898	27898
PROCESSING	57	58	10898	25898
PROCESSING	58	56	11312	27312
PROCESSING	58	57	10898	25898
PROCESSING	58	58	11312	25312
AT	58	58	11312	25312
PROCESSING	57	57	12726	28726
PROCESSING	57	58	12312	27312
PROCESSING	57	59	12726	26726
PROCESSING	58	57	12312	27312
PROCESSING	58	59	12312	25312
PROCESSING	59	57	12726	26726
PROCESSING	59	58	12312	25312
PROCESSING	59	59	12726	24726
AT	59	59	12726	24726
PROCESSING	58	58	14140	28140
PROCESSING	58	59	13726	26726
PROCESSING	59	58	13726	26726
AT	58	59	12312	25312
PROCESSING	57	58	13726	28726
PROCESSING	57	59	13312	27312
PROCESSING	58	58	13312	27312
PROCESSING	59	58	13726	26726
PROCESSING	59	59	13312	25312
AT	59	58	12312	25312
PROCESSING	58	57	13726	28726
PROCESSING	58	58	13312	27312
PROCESSING	58	59	13726	26726
PROCESSING	59	57	13312	27312
PROCESSING	59	59	13312	25312
AT	59	59	13312	25312
PROCESSING	58	58	14726	28726
PROCESSING	58	59	14312	27312
PROCESSING	59	58	14312	27312
AT	59	59	13312	25312
PROCESSING	58	58	14726	28726
PROCESSING	58	59	14312	27312
PROCESSING	59	58	14312	27312
AT	57	58	10898	25898
PROCESSING	56	57	12312	29312
PROCESSING	56	58	11898	27898
PROCESSING	56	59	12312	27312
PROCESSING	57	57	11898	27898
PROCESSING	57	59	11898	25898
PROCESSING	58	57	12312	27312
PROCESSING	58	58	11898	25898
AT	58	57	10898	25898
PROCESSING	57	56	12312	29312
PROCESSING	57	57	11898	27898
PROCESSING	57	58	12312	27312
PROCESSING	58	56	11898	27898
PROCESSING	58	58	11898	25898
PROCESSING	59	56	12312	27312
PROCESSING	59	57	11898	25898
AT	57	59	11898	25898
PROCESSING	56	58	13312	29312
PROCESSING	56	59	12898	27898
PROCESSING	57	58	12898	27898
PROCESSING	58	58	13312	27312
PROCESSING	58	59	12898	25898
AT	58	58	11898	25898
PROCESSING	57	57	13312	29312
PROCESSING	57	58	12898	27898
PROCESSING	57	59	13312	27312
PROCESSING	58	57	12898	27898
PROCESSING	58	59	12898	25898
PROCESSING	59	57	13312	27312
PROCESSING	59	58	12898	25898
AT	58	58	11898	25898
PROCESSING	57	57	13312	29312
PROCESSING	57	58	12898	27898
PROCESSING	57	59	13312	27312
PROCESSING	58	57	12898	27898
PROCESSING	58	59	12898	25898
PROCESSING	59	57	13312	27312
PROCESSING	59	58	12898	25898
AT	59	57	11898	25898
PROCESSING	58	56	13312	29312
PROCESSING	58	57	12898	27898
PROCESSING	58	58	13312	27312
PROCESSING	59	56	12898	27898
PROCESSING	59	58	12898	25898
AT	58	59	12898	25898
PROCESSING	57	58	14312	29312
PROCESSING	57	59	13898	27898
PROCESSING	58	58	13898	27898
PROCESSING	59	58	14312	27312
PROCESSING	59	59	13898	25898
AT	58	59	12898	25898
PROCESSING	57	58	14312	29312
PROCESSING	57	59	13898	27898
PROCESSING	58	58	13898	27898
PROCESSING	59	58	14312	27312
PROCESSING	59	59	13898	25898
AT	59	58	12898	25898
PROCESSING	58	57	14312	29312
PROCESSING	58	58	13898	27898
PROCESSING	58	59	14312	27312
PROCESSING	59	57	13898	27898
PROCESSING	59	59	13898	25898
AT	58	59	12898	25898
PROCESSING	57	58	14312	29312
PROCESSING	57	59	13898	27898
PROCESSING	58	58	13898	27898
PROCESSING	59	58	14312	27312
PROCESSING	59	59	13898	25898
AT	59	58	12898	25898
PROCESSING	58	57	14312	29312
PROCESSING	58	58	13898	27898
PROCESSING	58	59	14312	27312
PROCESSING	59	57	13898	27898
PROCESSING	59	59	13898	25898
AT	59	58	12898	25898
PROCESSING	58	57	14312	29312
PROCESSING	58	58	13898	27898
PROCESSING	58	59	14312	27312
PROCESSING	59	57	13898	27898
PROCESSING	59	59	13898	25898
AT	59	59	13898	25898
PROCESSING	58	58	15312	29312
PROCESSING	58	59	14898	27898
PROCESSING	59	58	14898	27898
AT	59	59	13898	25898
PROCESSING	58	58	15312	29312
PROCESSING	58	59	14898	27898
PROCESSING	59	58	14898	27898
AT	59	59	13898	25898
PROCESSING	58	58	15312	29312
PROCESSING	58	59	14898	27898
PROCESSING	59	58	14898	27898
AT	59	59	13898	25898
PROCESSING	58	58	15312	29312
PROCESSING	58	59	14898	27898
PROCESSING	59	58	14898	27898
AT	59	59	13898	25898
PROCESSING	58	58	15312	29312
PROCESSING	58	59	14898	27898
PROCESSING	59	58	14898	27898
AT	59	59	13898	25898
PROCESSING	58	58	15312	29312
PROCESSING	58	59	14898	27898
PROCESSING	59	58	14898	27898
AT	57	56	9484	26484
PROCESSING	56	55	10898	29898
PROCESSING	56	56	10484	28484
PROCESSING	56	57	10898	27898
PROCESSING	57	55	10484	28484
PROCESSING	57	57	10484	26484
PROCESSING	58	55	10898	27898
PROCESSING	58	56	10484	26484
AT	56	57	9484	26484
PROCESSING	55	56	10898	29898
PROCESSING	55	57	10484	28484
PROCESSING	55	58	10898	27898
PROCESSING	56	56	10484	28484
PROCESSING	56	58	10484	26484
PROCESSING	57	56	10898	27898
PROCESSING	57	57	10484	26484
AT	57	57	10484	26484
PROCESSING	56	56	11898	29898
PROCESSING	56	57	11484	28484
PROCESSING	56	58	11898	27898
PROCESSING	57	56	11484	28484
PROCESSING	57	58	11484	26484
PROCESSING	58	56	11898	27898
PROCESSING	58	57	11484	26484
AT	58	56	10484	26484
PROCESSING	57	55	11898	29898
